Country,Year,population
Norway,1951,3300422
Oman,1951,462257
Pakistan,1951,37976075
Palau,1951,7497
Panama,1951,881346
Papua New Guinea,1951,1729254
Paraguay,1951,1511764
Peru,1951,7924206
Philippines,1951,19246611
Pitcairn,1951,133
Poland,1951,25264029
Portugal,1951,8431207
Puerto Rico,1951,2209692
Qatar,1951,27475
Reunion,1951,259293
Romania,1951,16512672
Russia,1951,104306354
Rwanda,1951,2250675
St. Barthélemy,1951,2228
St. Helena,1951,5010
St. Kitts and Nevis,1951,46139
St. Lucia,1951,83875
St. Martin,1951,17559
St. Vincent and the Grenadines,1951,68067
St.-Pierre-et-Miquelon,1951,4605
Samoa,1951,84439
San Marino,1951,12918
Sao Tome and Principe,1951,59203
Saudi Arabia,1951,3198551
Senegal,1951,2529699
Serbia,1951,6853289
Serbia and Montenegro,1951,7193100
Serbia excluding Kosovo,1951,5735248
Seychelles,1951,36883
Sierra Leone,1951,1962818
Singapore,1951,1067964
Slovak Republic,1951,3509957
Slovenia,1951,1481637
Solomon Islands,1951,91808
Somalia,1951,2307576
Somaliland,1951,NA
South Africa,1951,13993888
South Ossetia,1951,NA
Spain,1951,28237323
Sri Lanka,1951,8201505
Sudan,1951,5883670
Suriname,1951,222679
Svalbard,1951,1478
Swaziland,1951,278952
Sweden,1951,7072080
Switzerland,1951,4726283
Syria,1951,3500650
Taiwan,1951,8260667
Tajikistan,1951,1576454
Tanzania,1951,7847303
Thailand,1951,21263203
Timor-Leste,1951,438192
Togo,1951,1425482
Tokelau,1951,1516
Tonga,1951,49311
Transnistria,1951,NA
Trinidad and Tobago,1951,658830
Tunisia,1951,3696457
Turkey,1951,21806355
Turkmenistan,1951,1228378
Turks and Caicos Islands,1951,4984
Tuvalu,1951,5221
Uganda,1951,5308673
Ukraine,1951,37815815
United Arab Emirates,1951,67972
United Kingdom,1951,50620538
United States,1951,159880756
Uruguay,1951,2261342
USSR,1951,182701382
Uzbekistan,1951,7104056
Wallis et Futuna,1951,7088
Vanuatu,1951,48919
Venezuela,1951,5735168
West Bank and Gaza,1951,923753
West Germany,1951,50454034
Western Sahara,1951,16061
Vietnam,1951,25364453
Virgin Islands (U.S.),1951,27295
North Yemen (former),1951,4295510
South Yemen (former),1951,1329964
Yemen,1951,4474025
Yugoslavia,1951,16508307
Zambia,1951,2376075
Zimbabwe,1951,2830449
Åland,1951,21618
South Sudan,1951,2601308
Curaçao,1951,104566
Sint Maarten (Dutch part),1951,1664
St. Martin (French part),1951,NA
Antarctica,1951,NA
Bouvet Island,1951,NA
British Indian Ocean Territory,1951,NA
Clipperton,1951,NA
French Southern and Antarctic Lands,1951,NA
Gaza Strip,1951,NA
Heard and McDonald Islands,1951,NA
Northern Marianas,1951,NA
South Georgia and the South Sandwich Islands,1951,NA
US Minor Outlying Islands,1951,NA
Virgin Islands,1951,NA
West Bank,1951,NA
Abkhazia,1952,NA
Afghanistan,1952,7934798
Akrotiri and Dhekelia,1952,10813
Albania,1952,1316086
Algeria,1952,9216395
American Samoa,1952,19543
Andorra,1952,7250
Angola,1952,4529381
Anguilla,1952,5438
Antigua and Barbuda,1952,49887
Argentina,1952,17866097
Armenia,1952,1419913
Aruba,1952,38965
Australia,1952,8627052
Austria,1952,6929289
Azerbaijan,1952,3045429
Bahamas,1952,81428
Bahrain,1952,119689
Bangladesh,1952,39493326
Barbados,1952,219636
Belarus,1952,7711027
Belgium,1952,8721192
Belize,1952,73428
Benin,1952,2264378
Bermuda,1952,38474
Bhutan,1952,186160
Bolivia,1952,3193287
Bosnia and Herzegovina,1952,2763298
Botswana,1952,437182
Brazil,1952,57304772
British Virgin Islands,1952,7561
Brunei,1952,53932
Bulgaria,1952,7359997
Burkina Faso,1952,4367137
Burundi,1952,2403777
Cambodia,1952,4658653
Cameroon,1952,4623471
Canada,1952,14481497
Cape Verde,1952,191521
Cayman Islands,1952,6245
Central African Republic,1952,1353470
Chad,1952,2589278
Channel Islands,1952,103653
Chile,1952,6417543
China,1952,570764965
Christmas Island,1952,645
Cocos Island,1952,333
Colombia,1952,13064689
Comoros,1952,163553
"Congo, Dem. Rep.",1952,12680934
"Congo, Rep.",1952,841473
Cook Is,1952,15638
Costa Rica,1952,1015875
Cote d'Ivoire,1952,2758455
Croatia,1952,3922675
Cuba,1952,6180031
Cyprus,1952,506627
Czech Republic,1952,9106227
Czechoslovakia,1952,12678286
Denmark,1952,4345218
Djibouti,1952,64748
Dominica,1952,52298
Dominican Republic,1952,2517258
East Germany,1952,18252710
Ecuador,1952,3655012
Egypt,1952,21904478
El Salvador,1952,2278305
Equatorial Guinea,1952,232757
Eritrea,1952,1184694
Eritrea and Ethiopia,1952,22304326
Estonia,1952,1125245
Ethiopia,1952,18819634
Faeroe Islands,1952,31218
Falkland Is (Malvinas),1952,2235
Fiji,1952,304813
Finland,1952,4095130
France,1952,42365756
French Guiana,1952,26895
French Polynesia,1952,63869
Gabon,1952,477711
Gambia,1952,276771
Georgia,1952,3646321
Germany,1952,70421462
Ghana,1952,5191221
Gibraltar,1952,20773
Greece,1952,7706022
Greenland,1952,23941
Grenada,1952,77135
Guadeloupe,1952,217248
Guam,1952,60872
Guatemala,1952,3330548
Guernsey,1952,45720
Guinea,1952,3185537
Guinea-Bissau,1952,552032
Guyana,1952,435850
Haiti,1952,3331582
Holy See,1952,884
Honduras,1952,1568424
"Hong Kong, China",1952,2133603
Hungary,1952,9595219
Iceland,1952,147681
India,1952,388515758
Indonesia,1952,72309902
Iran,1952,17933356
Iraq,1952,6065012
Ireland,1952,2924222
Isle of Man,1952,54906
Israel,1952,1451493
Italy,1952,47398599
Jamaica,1952,1468361
Japan,1952,85174909
Jersey,1952,58079
Jordan,1952,542123
Kazakhstan,1952,7041605
Kenya,1952,6412380
Kiribati,1952,34283
North Korea,1952,10049026
South Korea,1952,19566860
United Korea (former),1952,29830665
Kosovo,1952,1227616
Kuwait,1952,173622
Kyrgyz Republic,1952,1791952
Lao,1952,1763791
Latvia,1952,1965114
Lebanon,1952,1392725
Lesotho,1952,754849
Liberia,1952,957864
Libya,1952,1152277
Liechtenstein,1952,14135
Lithuania,1952,2578522
Luxembourg,1952,299499
"Macao, China",1952,193743
"Macedonia, FYR",1952,1320984
Madagascar,1952,4256120
Malawi,1952,3065030
Malaysia,1952,6433161
Maldives,1952,75189
Mali,1952,4811198
Malta,1952,313192
Marshall Islands,1952,13436
Martinique,1952,228268
Mauritania,1952,691807
Mauritius,1952,521190
Mayotte,1952,16448
Mexico,1952,29711632
"Micronesia, Fed. Sts.",1952,34596
Moldova,1952,2432096
Monaco,1952,19077
Mongolia,1952,807926
Montenegro,1952,410511
Montserrat,1952,14489
Morocco,1952,9529540
Mozambique,1952,6503106
Myanmar,1952,18182312
Namibia,1952,504552
Nauru,1952,3191
Nepal,1952,8823022
Netherlands,1952,10275701
Netherlands Antilles,1952,116163
New Caledonia,1952,64441
New Zealand,1952,1992619
Ngorno-Karabakh,1952,NA
Nicaragua,1952,1371525
Niger,1952,2717047
Nigeria,1952,39049831
Niue,1952,4687
Norfolk Island,1952,1699
Northern Cyprus,1952,NA
Northern Mariana Islands,1952,7222
Norway,1952,3333895
Oman,1952,469350
Pakistan,1952,38485341
Palau,1952,7620
Panama,1952,904387
Papua New Guinea,1952,1750883
Paraguay,1952,1550763
Peru,1952,8128525
Philippines,1952,19945659
Pitcairn,1952,135
Poland,1952,25738253
Portugal,1952,8473628
Puerto Rico,1952,2212098
Qatar,1952,29843
Reunion,1952,268485
Romania,1952,16764920
Russia,1952,105969442
Rwanda,1952,2313306
St. Barthélemy,1952,2222
St. Helena,1952,5018
St. Kitts and Nevis,1952,46495
St. Lucia,1952,84763
St. Martin,1952,17718
St. Vincent and the Grenadines,1952,69270
St.-Pierre-et-Miquelon,1952,4634
Samoa,1952,86818
San Marino,1952,13088
Sao Tome and Principe,1952,58525
Saudi Arabia,1952,3283299
Senegal,1952,2586817
Serbia,1952,6963396
Serbia and Montenegro,1952,7281202
Serbia excluding Kosovo,1952,5802962
Seychelles,1952,37438
Sierra Leone,1952,1983321
Singapore,1952,1120277
Slovak Republic,1952,3585960
Slovenia,1952,1491673
Solomon Islands,1952,94079
Somalia,1952,2351811
Somaliland,1952,NA
South Africa,1952,14322409
South Ossetia,1952,NA
Spain,1952,28430442
Sri Lanka,1952,8338783
Sudan,1952,6039086
Suriname,1952,229653
Svalbard,1952,1512
Swaziland,1952,285338
Sweden,1952,7125539
Switzerland,1952,4788958
Syria,1952,3595227
Taiwan,1952,8550333
Tajikistan,1952,1624542
Tanzania,1952,8055911
Thailand,1952,21837991
Timor-Leste,1952,443346
Togo,1952,1441908
Tokelau,1952,1504
Tonga,1952,51171
Transnistria,1952,NA
Trinidad and Tobago,1952,675742
Tunisia,1952,3773357
Turkey,1952,22393931
Turkmenistan,1952,1252660
Turks and Caicos Islands,1952,4977
Tuvalu,1952,5294
Uganda,1952,5455540
Ukraine,1952,38360511
United Arab Emirates,1952,69813
United Kingdom,1952,50683596
United States,1952,162280405
Uruguay,1952,2286264
USSR,1952,185831282
Uzbekistan,1952,7265172
Wallis et Futuna,1952,7238
Vanuatu,1952,50295
Venezuela,1952,5989555
West Bank and Gaza,1952,931919
West Germany,1952,50928024
Western Sahara,1952,17576
Vietnam,1952,25976838
Virgin Islands (U.S.),1952,27974
North Yemen (former),1952,4324445
South Yemen (former),1952,1338923
Yemen,1952,4546100
Yugoslavia,1952,16721448
Zambia,1952,2438575
Zimbabwe,1952,2918424
Åland,1952,21546
South Sudan,1952,2624563
Curaçao,1952,108285
Sint Maarten (Dutch part),1952,1799
St. Martin (French part),1952,NA
Antarctica,1952,NA
Bouvet Island,1952,NA
British Indian Ocean Territory,1952,NA
Clipperton,1952,NA
French Southern and Antarctic Lands,1952,NA
Gaza Strip,1952,NA
Heard and McDonald Islands,1952,NA
Northern Marianas,1952,NA
South Georgia and the South Sandwich Islands,1952,NA
US Minor Outlying Islands,1952,NA
Virgin Islands,1952,NA
West Bank,1952,NA
Abkhazia,1953,NA
Afghanistan,1953,8038312
Akrotiri and Dhekelia,1953,10889
Albania,1953,1348097
Algeria,1953,9405445
American Samoa,1953,19683
Andorra,1953,7863
Angola,1953,4621691
Anguilla,1953,5549
Antigua and Barbuda,1953,51092
Argentina,1953,18224150
Armenia,1953,1463017
Aruba,1953,40149
Australia,1953,8821938
Austria,1953,6932427
Azerbaijan,1953,3133703
Bahamas,1953,83371
Bahrain,1953,123593
Bangladesh,1953,40302266
Barbados,1953,222808
Belarus,1953,7724108
Belgium,1953,8770196
Belize,1953,75554
Benin,1953,2274130
Bermuda,1953,39196
Bhutan,1953,190810
Bolivia,1953,3248462
Bosnia and Herzegovina,1953,2819107
Botswana,1953,448437
Brazil,1953,59053267
British Virgin Islands,1953,7605
Brunei,1953,56958
Bulgaria,1953,7418765
Burkina Faso,1953,4413203
Burundi,1953,2445836
Cambodia,1953,4784792
Cameroon,1953,4704556
Canada,1953,14882050
Cape Verde,1953,194839
Cayman Islands,1953,6319
Central African Republic,1953,1367805
Chad,1953,2636785
Channel Islands,1953,104314
Chile,1953,6561033
China,1953,580886559
Christmas Island,1953,663
Cocos Island,1953,338
Colombia,1953,13438645
Comoros,1953,166839
"Congo, Dem. Rep.",1953,12944393
"Congo, Rep.",1953,859714
Cook Is,1953,15840
Costa Rica,1953,1048222
Cote d'Ivoire,1953,2827844
Croatia,1953,3959119
Cuba,1953,6304524
Cyprus,1953,513435
Czech Republic,1953,9200240
Czechoslovakia,1953,12818348
Denmark,1953,4379141
Djibouti,1953,66273
Dominica,1953,52945
Dominican Republic,1953,2600801
East Germany,1953,18185397
Ecuador,1953,3752131
Egypt,1953,22458402
El Salvador,1953,2324558
Equatorial Guinea,1953,234512
Eritrea,1953,1208141
Eritrea and Ethiopia,1953,22686380
Estonia,1953,1136906
Ethiopia,1953,19184239
Faeroe Islands,1953,31292
Falkland Is (Malvinas),1953,2224
Fiji,1953,314352
Finland,1953,4142353
France,1953,42724452
French Guiana,1953,27463
French Polynesia,1953,65594
Gabon,1953,479237
Gambia,1953,283502
Georgia,1953,3710132
Germany,1953,70720721
Ghana,1953,5339179
Gibraltar,1953,20879
Greece,1953,7779457
Greenland,1953,24469
Grenada,1953,78103
Guadeloupe,1953,222551
Guam,1953,61471
Guatemala,1953,3424050
Guernsey,1953,45887
Guinea,1953,3228112
Guinea-Bissau,1953,559688
Guyana,1953,452260
Haiti,1953,3390047
Holy See,1953,889
Honduras,1953,1615739
"Hong Kong, China",1953,2249334
Hungary,1953,9691114
Iceland,1953,150779
India,1953,395137696
Indonesia,1953,73866520
Iran,1953,18368896
Iraq,1953,6216130
Ireland,1953,2921360
Isle of Man,1953,54258
Israel,1953,1546239
Italy,1953,47748689
Jamaica,1953,1496629
Japan,1953,86378004
Jersey,1953,58691
Jordan,1953,574887
Kazakhstan,1953,7315507
Kenya,1953,6593123
Kiribati,1953,35004
North Korea,1953,9957244
South Korea,1953,19979069
United Korea (former),1953,29761346
Kosovo,1953,1242614
Kuwait,1953,181957
Kyrgyz Republic,1953,1825123
Lao,1953,1805210
Latvia,1953,1979028
Lebanon,1953,1434845
Lesotho,1953,765564
Liberia,1953,973896
Libya,1953,1175887
Liechtenstein,1953,14342
Lithuania,1953,2591999
Luxembourg,1953,301505
"Macao, China",1953,190288
"Macedonia, FYR",1953,1347465
Madagascar,1953,4348239
Malawi,1953,3124731
Malaysia,1953,6618274
Maldives,1953,76483
Mali,1953,4864754
Malta,1953,313505
Marshall Islands,1953,13626
Martinique,1953,233265
Mauritania,1953,709098
Mauritius,1953,537048
Mayotte,1953,17246
Mexico,1953,30634216
"Micronesia, Fed. Sts.",1953,35694
Moldova,1953,2491068
Monaco,1953,19053
Mongolia,1953,823060
Montenegro,1953,421735
Montserrat,1953,14627
Morocco,1953,9837752
Mozambique,1953,6607094
Myanmar,1953,18529495
Namibia,1953,515040
Nauru,1953,3335
Nepal,1953,8982216
Netherlands,1953,10407107
Netherlands Antilles,1953,118338
New Caledonia,1953,65153
New Zealand,1953,2040015
Ngorno-Karabakh,1953,NA
Nicaragua,1953,1414276
Niger,1953,2797435
Nigeria,1953,39707796
Niue,1953,4687
Norfolk Island,1953,1704
Northern Cyprus,1953,NA
Northern Mariana Islands,1953,7417
Norway,1953,3366281
Oman,1953,477437
Pakistan,1953,39065871
Palau,1953,7797
Panama,1953,928713
Papua New Guinea,1953,1773331
Paraguay,1953,1590497
Peru,1953,8340379
Philippines,1953,20670541
Pitcairn,1953,138
Poland,1953,26236679
Portugal,1953,8532193
Puerto Rico,1953,2221013
Qatar,1953,32029
Reunion,1953,276526
Romania,1953,17005725
Russia,1953,107729541
Rwanda,1953,2378442
St. Barthélemy,1953,2217
St. Helena,1953,5005
St. Kitts and Nevis,1953,47051
St. Lucia,1953,85493
St. Martin,1953,17879
St. Vincent and the Grenadines,1953,70594
St.-Pierre-et-Miquelon,1953,4663
Samoa,1953,89235
San Marino,1953,13288
Sao Tome and Principe,1953,58163
Saudi Arabia,1953,3372617
Senegal,1953,2647955
Serbia,1953,7063169
Serbia and Montenegro,1953,7371729
Serbia excluding Kosovo,1953,5873857
Seychelles,1953,37966
Sierra Leone,1953,2005162
Singapore,1953,1178074
Slovak Republic,1953,3662707
Slovenia,1953,1502837
Solomon Islands,1953,96561
Somalia,1953,2397067
Somaliland,1953,NA
South Africa,1953,14665139
South Ossetia,1953,NA
Spain,1953,28641790
Sri Lanka,1953,8489249
Sudan,1953,6200492
Suriname,1953,236348
Svalbard,1953,1546
Swaziland,1953,292189
Sweden,1953,7173121
Switzerland,1953,4851987
Syria,1953,3697041
Taiwan,1953,8853333
Tajikistan,1953,1674117
Tanzania,1953,8274747
Thailand,1953,22436536
Timor-Leste,1953,448894
Togo,1953,1452091
Tokelau,1953,1522
Tonga,1953,52784
Transnistria,1953,NA
Trinidad and Tobago,1953,695467
Tunisia,1953,3838499
Turkey,1953,22999018
Turkmenistan,1953,1282584
Turks and Caicos Islands,1953,5016
Tuvalu,1953,5378
Uganda,1953,5601243
Ukraine,1953,38916265
United Arab Emirates,1953,73184
United Kingdom,1953,50792671
United States,1953,164941716
Uruguay,1953,2313208
USSR,1953,188995885
Uzbekistan,1953,7428993
Wallis et Futuna,1953,7420
Vanuatu,1953,51774
Venezuela,1953,6244652
West Bank and Gaza,1953,948797
West Germany,1953,51406466
Western Sahara,1953,18727
Vietnam,1953,26646172
Virgin Islands (U.S.),1953,28613
North Yemen (former),1953,4353575
South Yemen (former),1953,1347942
Yemen,1953,4618871
Yugoslavia,1953,16932116
Zambia,1953,2504147
Zimbabwe,1953,3010186
Åland,1953,21475
South Sudan,1953,2652415
Curaçao,1953,111501
Sint Maarten (Dutch part),1953,1912
St. Martin (French part),1953,NA
Antarctica,1953,NA
Bouvet Island,1953,NA
British Indian Ocean Territory,1953,NA
Clipperton,1953,NA
French Southern and Antarctic Lands,1953,NA
Gaza Strip,1953,NA
Heard and McDonald Islands,1953,NA
Northern Marianas,1953,NA
South Georgia and the South Sandwich Islands,1953,NA
US Minor Outlying Islands,1953,NA
Virgin Islands,1953,NA
West Bank,1953,NA
Abkhazia,1954,NA
Afghanistan,1954,8150037
Akrotiri and Dhekelia,1954,10966
Albania,1954,1382881
Algeria,1954,9609507
American Samoa,1954,19729
Andorra,1954,8526
Angola,1954,4714970
Anguilla,1954,5635
Antigua and Barbuda,1954,51979
Argentina,1954,18579041
Armenia,1954,1511188
Aruba,1954,41763
Australia,1954,9014508
Austria,1954,6939230
Azerbaijan,1954,3228233
Bahamas,1954,85776
Bahrain,1954,128333
Bangladesh,1954,41170306
Barbados,1954,225263
Belarus,1954,7755576
Belgium,1954,8820161
Belize,1954,77686
Benin,1954,2287225
Bermuda,1954,39963
Bhutan,1954,195449
Bolivia,1954,3305835
Bosnia and Herzegovina,1954,2875641
Botswana,1954,459206
Brazil,1954,60838782
British Virgin Islands,1954,7645
Brunei,1954,60104
Bulgaria,1954,7479367
Burkina Faso,1954,4463165
Burundi,1954,2487929
Cambodia,1954,4914447
Cameroon,1954,4787832
Canada,1954,15300472
Cape Verde,1954,196632
Cayman Islands,1954,6470
Central African Republic,1954,1383078
Chad,1954,2685842
Channel Islands,1954,104962
Chile,1954,6709188
China,1954,589955812
Christmas Island,1954,682
Cocos Island,1954,342
Colombia,1954,13824721
Comoros,1954,170019
"Congo, Dem. Rep.",1954,13222519
"Congo, Rep.",1954,878834
Cook Is,1954,16075
Costa Rica,1954,1082879
Cote d'Ivoire,1954,2901307
Croatia,1954,3995136
Cuba,1954,6424173
Cyprus,1954,521187
Czech Republic,1954,9283156
Czechoslovakia,1954,12954764
Denmark,1954,4410435
Djibouti,1954,67877
Dominica,1954,53690
Dominican Republic,1954,2688701
East Germany,1954,18118333
Ecuador,1954,3852857
Egypt,1954,23043035
El Salvador,1954,2374972
Equatorial Guinea,1954,235993
Eritrea,1954,1232905
Eritrea and Ethiopia,1954,23082816
Estonia,1954,1148217
Ethiopia,1954,19559974
Faeroe Islands,1954,31497
Falkland Is (Malvinas),1954,2213
Fiji,1954,324480
Finland,1954,4189559
France,1954,43118110
French Guiana,1954,27985
French Polynesia,1954,67249
Gabon,1954,480768
Gambia,1954,292713
Georgia,1954,3774810
Germany,1954,71015688
Ghana,1954,5504255
Gibraltar,1954,20961
Greece,1954,7856029
Greenland,1954,25094
Grenada,1954,79432
Guadeloupe,1954,228874
Guam,1954,62058
Guatemala,1954,3518608
Guernsey,1954,46032
Guinea,1954,3271196
Guinea-Bissau,1954,567406
Guyana,1954,468805
Haiti,1954,3450856
Holy See,1954,897
Honduras,1954,1665566
"Hong Kong, China",1954,2370828
Hungary,1954,9768149
Iceland,1954,154110
India,1954,402065915
Indonesia,1954,75539738
Iran,1954,18822605
Iraq,1954,6360435
Ireland,1954,2912747
Isle of Man,1954,53398
Israel,1954,1635786
Italy,1954,48064766
Jamaica,1954,1521312
Japan,1954,87438747
Jersey,1954,59279
Jordan,1954,608017
Kazakhstan,1954,7636765
Kenya,1954,6782300
Kiribati,1954,35778
North Korea,1954,9972437
South Korea,1954,20520601
United Korea (former),1954,29954080
Kosovo,1954,1259585
Kuwait,1954,188811
Kyrgyz Republic,1954,1862068
Lao,1954,1847377
Latvia,1954,1995859
Lebanon,1954,1481960
Lesotho,1954,776514
Liberia,1954,991312
Libya,1954,1202737
Liechtenstein,1954,14572
Lithuania,1954,2609264
Luxembourg,1954,303452
"Macao, China",1954,186032
"Macedonia, FYR",1954,1370978
Madagascar,1954,4444061
Malawi,1954,3187172
Malaysia,1954,6813378
Maldives,1954,78013
Mali,1954,4919547
Malta,1954,313735
Marshall Islands,1954,13780
Martinique,1954,239147
Mauritania,1954,727440
Mauritius,1954,553623
Mayotte,1954,18098
Mexico,1954,31599804
"Micronesia, Fed. Sts.",1954,36774
Moldova,1954,2556588
Monaco,1954,19264
Mongolia,1954,838787
Montenegro,1954,433135
Montserrat,1954,14552
Morocco,1954,10163437
Mozambique,1954,6716811
Myanmar,1954,18895417
Namibia,1954,526036
Nauru,1954,3479
Nepal,1954,9137336
Netherlands,1954,10542244
Netherlands Antilles,1954,120537
New Caledonia,1954,66289
New Zealand,1954,2088194
Ngorno-Karabakh,1954,NA
Nicaragua,1954,1459850
Niger,1954,2878395
Nigeria,1954,40399771
Niue,1954,4687
Norfolk Island,1954,1709
Northern Cyprus,1954,NA
Northern Mariana Islands,1954,7685
Norway,1954,3398028
Oman,1954,486310
Pakistan,1954,39714074
Palau,1954,8013
Panama,1954,954272
Papua New Guinea,1954,1796808
Paraguay,1954,1631186
Peru,1954,8559721
Philippines,1954,21416099
Pitcairn,1954,140
Poland,1954,26750026
Portugal,1954,8597225
Puerto Rico,1954,2233406
Qatar,1954,34016
Reunion,1954,284084
Romania,1954,17243807
Russia,1954,109537868
Rwanda,1954,2448814
St. Barthélemy,1954,2212
St. Helena,1954,4980
St. Kitts and Nevis,1954,47739
St. Lucia,1954,86108
St. Martin,1954,18041
St. Vincent and the Grenadines,1954,72022
St.-Pierre-et-Miquelon,1954,4693
Samoa,1954,91695
San Marino,1954,13515
Sao Tome and Principe,1954,58238
Saudi Arabia,1954,3464554
Senegal,1954,2713038
Serbia,1954,7153366
Serbia and Montenegro,1954,7472623
Serbia excluding Kosovo,1954,5954081
Seychelles,1954,38453
Sierra Leone,1954,2028070
Singapore,1954,1240283
Slovak Republic,1954,3738674
Slovenia,1954,1514789
Solomon Islands,1954,99221
Somalia,1954,2443576
Somaliland,1954,NA
South Africa,1954,15019626
South Ossetia,1954,NA
Spain,1954,28866150
Sri Lanka,1954,8653784
Sudan,1954,6368211
Suriname,1954,243087
Svalbard,1954,1581
Swaziland,1954,299502
Sweden,1954,7217176
Switzerland,1954,4912885
Syria,1954,3805985
Taiwan,1954,9165333
Tajikistan,1954,1724204
Tanzania,1954,8503218
Thailand,1954,23060429
Timor-Leste,1954,454860
Togo,1954,1461521
Tokelau,1954,1560
Tonga,1954,54154
Transnistria,1954,NA
Trinidad and Tobago,1954,717161
Tunisia,1954,3894386
Turkey,1954,23619469
Turkmenistan,1954,1317126
Turks and Caicos Islands,1954,5094
Tuvalu,1954,5468
Uganda,1954,5748208
Ukraine,1954,39471682
United Arab Emirates,1954,76708
United Kingdom,1954,50938227
United States,1954,167800046
Uruguay,1954,2342044
USSR,1954,192248152
Uzbekistan,1954,7596333
Wallis et Futuna,1954,7611
Vanuatu,1954,53325
Venezuela,1954,6500642
West Bank and Gaza,1954,968681
West Germany,1954,51889402
Western Sahara,1954,19839
Vietnam,1954,27370699
Virgin Islands (U.S.),1954,29088
North Yemen (former),1954,4382902
South Yemen (former),1954,1357022
Yemen,1954,4692620
Yugoslavia,1954,17150576
Zambia,1954,2572608
Zimbabwe,1954,3105346
Åland,1954,21404
South Sudan,1954,2684597
Curaçao,1954,114347
Sint Maarten (Dutch part),1954,2013
St. Martin (French part),1954,NA
Antarctica,1954,NA
Bouvet Island,1954,NA
British Indian Ocean Territory,1954,NA
Clipperton,1954,NA
French Southern and Antarctic Lands,1954,NA
Gaza Strip,1954,NA
Heard and McDonald Islands,1954,NA
Northern Marianas,1954,NA
South Georgia and the South Sandwich Islands,1954,NA
US Minor Outlying Islands,1954,NA
Virgin Islands,1954,NA
West Bank,1954,NA
Abkhazia,1955,NA
Afghanistan,1955,8270024
Akrotiri and Dhekelia,1955,11043
Albania,1955,1419969
Algeria,1955,9829717
American Samoa,1955,19706
Andorra,1955,9235
Angola,1955,4808114
Anguilla,1955,5697
Antigua and Barbuda,1955,52611
Argentina,1955,18929350
Armenia,1955,1563508
Aruba,1955,43727
Australia,1955,9212824
Austria,1955,6949482
Azerbaijan,1955,3327733
Bahamas,1955,88619
Bahrain,1955,133653
Bangladesh,1955,42122171
Barbados,1955,227076
Belarus,1955,7803537
Belgium,1955,8870792
Belize,1955,79872
Benin,1955,2303585
Bermuda,1955,40758
Bhutan,1955,200089
Bolivia,1955,3365363
Bosnia and Herzegovina,1955,2931849
Botswana,1955,469671
Brazil,1955,62655984
British Virgin Islands,1955,7685
Brunei,1955,63401
Bulgaria,1955,7541295
Burkina Faso,1955,4517155
Burundi,1955,2531800
Cambodia,1955,5045284
Cameroon,1955,4873726
Canada,1955,15733858
Cape Verde,1955,197422
Cayman Islands,1955,6676
Central African Republic,1955,1399493
Chad,1955,2735936
Channel Islands,1955,105608
Chile,1955,6862211
China,1955,598574241
Christmas Island,1955,702
Cocos Island,1955,347
Colombia,1955,14225197
Comoros,1955,173149
"Congo, Dem. Rep.",1955,13517519
"Congo, Rep.",1955,898832
Cook Is,1955,16373
Costa Rica,1955,1119619
Cote d'Ivoire,1955,2979491
Croatia,1955,4030418
Cuba,1955,6539470
Cyprus,1955,529971
Czech Republic,1955,9353086
Czechoslovakia,1955,13091258
Denmark,1955,4439594
Djibouti,1955,69594
Dominica,1955,54557
Dominican Republic,1955,2780660
East Germany,1955,18051516
Ecuador,1955,3957482
Egypt,1955,23656216
El Salvador,1955,2429331
Equatorial Guinea,1955,237676
Eritrea,1955,1258926
Eritrea and Ethiopia,1955,23494155
Estonia,1955,1159238
Ethiopia,1955,19947265
Faeroe Islands,1955,31818
Falkland Is (Malvinas),1955,2202
Fiji,1955,334976
Finland,1955,4235423
France,1955,43528065
French Guiana,1955,28496
French Polynesia,1955,68849
Gabon,1955,482558
Gambia,1955,304033
Georgia,1955,3839464
Germany,1955,71313740
Ghana,1955,5680406
Gibraltar,1955,21022
Greece,1955,7935409
Greenland,1955,25845
Grenada,1955,81028
Guadeloupe,1955,236061
Guam,1955,62645
Guatemala,1955,3614477
Guernsey,1955,46159
Guinea,1955,3316142
Guinea-Bissau,1955,575377
Guyana,1955,485041
Haiti,1955,3514072
Holy See,1955,905
Honduras,1955,1717045
"Hong Kong, China",1955,2490069
Hungary,1955,9828971
Iceland,1955,157584
India,1955,409280196
Indonesia,1955,77327799
Iran,1955,19293998
Iraq,1955,6502655
Ireland,1955,2899055
Isle of Man,1955,52409
Israel,1955,1718955
Italy,1955,48350847
Jamaica,1955,1542523
Japan,1955,88389994
Jersey,1955,59849
Jordan,1955,645724
Kazakhstan,1955,7992002
Kenya,1955,6979939
Kiribati,1955,36597
North Korea,1955,10086993
South Korea,1955,21168611
United Korea (former),1955,30456290
Kosovo,1955,1274865
Kuwait,1955,194795
Kyrgyz Republic,1955,1902499
Lao,1955,1890363
Latvia,1955,2015009
Lebanon,1955,1532111
Lesotho,1955,787760
Liberia,1955,1010064
Libya,1955,1233025
Liechtenstein,1955,14829
Lithuania,1955,2629571
Luxembourg,1955,305265
"Macao, China",1955,181450
"Macedonia, FYR",1955,1392450
Madagascar,1955,4543542
Malawi,1955,3252341
Malaysia,1955,7016097
Maldives,1955,79704
Mali,1955,4975401
Malta,1955,313914
